Reporter Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Belgium-Luxembourg,Import,0.0,0.0,0.0,0.0,0.0,0.0,304036632.641,313073222.972,315920756.832,330396386.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263426998.95
Belgium-Luxembourg,Export,0.0,0.0,0.0,0.0,0.0,0.0,332454776.656,332853593.341,342148612.142,353620799.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361077781.58
Belize,Import,0.0,0.0,0.0,541584.64,555632.33,516372.836,514307.702,508379.319,569090.058,580394.054,567776.187,887991.322,1026232.4,1048194.953,1097888.049,1022519.991,870980.517,1305694.379,1352236.257,1656897.376,1319479.917,1382787.575,1533819.217,1622350.807,1731419.741,1860971.835,1941547.772,26014549.234
Belize,Export,0.0,0.0,0.0,271815.531,253069.678,285757.041,323344.599,335244.834,352216.022,324429.269,229435.38,400405.977,363777.94,328802.36,405538.712,421305.019,414961.835,548804.446,533236.808,590115.652,499319.136,563950.397,790312.602,680344.364,830394.18,727453.969,655721.727,11129757.478
Benin,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589433.225,1357818.279,1081687.289,1188134.389,1431483.64,1773333.367,1774547.936,1775616.055,1983169.03,3233188.434,3390507.171,3056106.629,4233498.897,4108321.942,4596670.666,5844712.648,7366333.214,4916805.656,54701368.467
Benin,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659084.833,446884.988,375960.32,403852.249,480346.81,535033.665,594550.84,570934.982,447848.096,546253.374,839282.408,848806.799,1064381.039,774287.371,917083.624,1186944.81,1901742.085,1228404.984,13821683.277
Bermuda,Import,0.0,0.0,0.0,0.0,0.0,0.0,1257829.415,0.0,1168322.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968686.405,2130197.833,2252803.306,2272369.343,2039470.514,1930183.104,1753495.512,1723890.051,1918080.441,1910474.869,1829345.381,24155148.525
Bermuda,Export,0.0,0.0,0.0,0.0,0.0,0.0,125830.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19248.288,43409.935,23929.298,17244.605,229663.108
Bhutan,Import,0.0,0.0,0.0,0.0,181316.079,181613.688,0.0,0.0,0.0,266163.45,362248.492,0.0,0.0,0.0,0.0,0.0,761623.542,826076.468,986938.845,1076906.265,1047711.248,1659854.036,2037161.098,1949022.139,0.0,0.0,0.0,11336635.35
Bhutan,Export,0.0,0.0,0.0,0.0,131640.517,132765.8,0.0,0.0,0.0,216874.696,231844.73,0.0,0.0,0.0,0.0,0.0,501167.227,764578.754,1282111.065,1040347.402,977629.76,779058.711,832607.109,1060916.48,0.0,0.0,0.0,7951542.251
Bolivia,Import,0.0,0.0,0.0,2238227.118,2333375.114,2360905.572,2763289.854,3254298.231,3785587.558,4657137.072,3620330.833,3636043.053,3370940.33,3507912.715,3342924.204,3749244.822,4656498.832,5610572.029,6995688.078,9950993.772,8763115.861,11120630.551,15755236.125,17045866.235,18539376.114,20753018.951,19295634.775,181106847.799
Bolivia,Export,0.0,0.0,0.0,1530277.466,1615125.574,2242280.33,2353499.931,2173062.072,2542747.576,2642085.929,2799635.33,2910332.04,2702576.055,2736652.231,3280546.947,4443824.143,5528890.8,8393017.341,9420899.039,12981238.743,10094461.545,13559295.909,17864551.544,23265434.092,24000953.349,25126573.403,17073205.524,201281166.913
Bosnia and Herzegovina,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9512639.923,11272347.534,13270240.306,14241425.771,18243544.864,22834862.325,15684753.537,17281873.984,20851447.872,18894312.36,19378847.788,20640389.277,16812853.75,218919539.291
Bosnia and Herzegovina,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776503.589,3542200.452,4375309.545,6364531.584,7574427.563,9040391.971,7144690.826,8698667.22,10631490.498,9574713.581,10571388.427,10944646.003,9519646.362,100758607.621
Botswana,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4120485.317,3606101.019,6703766.131,7904961.014,6453285.502,6301862.681,6076779.707,7937285.846,10388161.161,9421606.929,11281003.748,14493143.157,16024080.675,14834790.004,15627375.1,15201645.655,156376333.646
Botswana,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5524026.045,5064233.16,5487072.904,7602221.299,7019166.466,8859748.045,9005292.518,10140369.912,9872839.566,6888605.296,9363145.44,11734401.625,11912655.97,15080655.824,15590856.441,12517419.736,151662710.247
Br. Antr. Terr,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Br. Antr. Terr,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Import,39085673.828,43571457.877,44499097.684,43220177.978,53362125.345,69252294.256,104303867.81,110510711.553,126883913.133,119093564.547,101372016.575,108709319.899,108268577.115,92218030.999,94378778.892,122392920.623,142901266.006,176500488.763,234394672.253,335969054.085,247114537.359,347412607.565,435943993.993,432167732.783,464820957.791,444950441.593,334351603.633,4977649883.94
Brazil,Export,66935904.636,60828630.993,60997459.058,69979226.558,75463392.553,85256554.796,90655212.606,93343482.724,103669860.633,99967193.334,93650830.187,108140520.199,113925720.716,117941436.244,141934825.891,187800337.227,229931324.817,267283386.486,313365139.959,381761813.926,294796690.359,383031437.186,491393677.897,463891882.11,464521685.431,431710641.622,367838630.893,5660016899.04
British Indian Ocean Ter.,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Indian Ocean Ter.,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
